player_id,name,role, Goals Conceded, Minutes played, Punches,Saves,Throws,Passes,Accurate Passes,Key Passes,goals,assists,chances_created,total_shots,shot_on_target,crosses,long_balls,touches,aerials_won,aerials_lost,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_won,duels_lost,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating
770881,Achraf Hakimi,Midfielder,,90,,,,87,73,0,0,0,0,2,0,4,3,118,3,1,0,4,2,2,11,9,2,1,6,4,2,2,0,,,,7.2
39591,Axel Witsel,Midfielder,,80,,,,79,76,0,0,0,0,1,0,0,6,91,0,0,0,1,1,1,3,2,0,2,12,1,1,1,0,1,,,7.2
170218,Thomas Delaney,Midfielder,,90,,,,67,58,0,0,0,0,0,0,0,9,82,2,1,2,2,0,0,7,4,0,0,4,4,0,1,0,,,,6.8
352994,Raphaël Guerreiro,Midfielder,,89,,,,89,79,3,0,0,1,1,0,3,5,108,0,0,0,0,3,3,6,0,0,1,6,2,2,1,0,1,,,8
516846,Julian Brandt,Midfielder,,68,,,,51,38,2,0,1,0,1,0,0,3,65,0,0,0,3,1,1,4,3,0,1,4,2,1,1,0,1,,,7.7
264190,Thorgan Hazard,Attacker,,79,,,,37,34,1,0,0,1,1,0,1,3,44,0,0,0,1,0,0,3,4,3,0,2,0,0,3,0,1,,,6.6
846381,Jadon Sancho,Attacker,,90,,,,69,62,3,0,0,0,3,1,5,2,96,0,1,0,2,9,7,8,6,1,0,4,1,1,0,0,,,,8
331535,Marcel Halstenberg,Defender,,45,,,,22,16,0,0,0,0,0,0,0,2,32,0,1,2,0,0,0,1,1,0,2,0,0,0,1,1,0,,,6.3
278856,Willi Orban,Defender,,2,,,,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,,,
688830,Amadou Haidara,Midfielder,,32,,,,19,12,0,0,0,0,1,0,0,0,22,2,5,0,0,0,0,2,7,1,1,2,0,0,0,1,0,,,5.5
526827,Konrad Laimer,Midfielder,,25,,,,5,3,0,0,0,0,0,0,0,0,13,0,0,0,1,1,1,5,3,1,1,2,1,0,3,1,0,,,6.2
151001,Péter Gulácsi,Keeper,0,90,1,4,4,47,32,0,,,,0,0,0,17,56,1,0,1,0,0,0,1,0,0,0,8,0,0,0,0,,,,6.4
602304,Nordi Mukiele,Defender,,90,,,,42,30,0,0,0,0,1,0,2,3,73,3,3,5,1,0,0,7,6,2,6,4,3,2,1,0,,,,7.2
526657,Lukas Klostermann,Defender,,90,,,,39,30,0,0,0,0,0,0,0,7,51,3,1,8,0,0,0,4,1,0,0,4,1,1,0,0,,,,6.8
658554,Dayot Upamecano,Defender,,43,,,,43,40,0,0,0,0,0,0,0,4,47,1,0,0,1,2,1,2,5,3,0,5,0,0,0,0,,1,,5
603537,Angelino,Midfielder,,90,,,,44,38,2,0,0,0,0,0,3,4,70,0,1,0,1,1,1,3,5,0,0,4,2,0,0,0,,,,6.5
614834,Daniel Olmo,Midfielder,,65,,,,28,19,1,0,0,0,2,1,0,4,47,1,2,3,1,2,1,7,6,1,1,3,3,2,2,0,1,,,7
729769,Tyler Adams,Midfielder,,90,,,,58,43,0,0,0,0,0,0,0,4,81,2,0,4,1,0,0,7,2,0,0,5,5,3,0,0,,,,6.8
185175,Kevin Kampl,Midfielder,,88,,,,60,51,0,0,0,0,0,0,0,5,69,0,0,0,1,0,0,4,5,3,2,9,3,1,1,0,1,,,6.4
704523,Christopher Nkunku,Attacker,,58,,,,12,10,0,0,0,0,1,1,3,0,23,0,2,0,0,0,0,1,3,0,0,0,0,0,1,0,1,,,6
540097,Patrik Schick,Attacker,,45,,,,9,6,1,1,0,1,3,2,0,1,15,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,,,7.7
450980,Timo Werner,Attacker,,90,,,,28,24,4,0,1,1,4,0,4,1,50,0,0,0,1,4,3,5,3,0,0,7,0,0,2,0,,,,8.2
487867,Wendell,Defender,,45,,,,40,36,3,0,0,0,0,0,1,2,55,0,0,2,0,1,1,2,1,0,0,4,1,0,0,1,0,,,6.8
331540,Kerem Demirbay,Midfielder,,45,,,,30,22,0,0,0,0,0,0,3,3,37,0,0,0,0,0,0,1,0,0,2,2,1,0,0,1,0,,,6.1
1152455,Florian Wirtz,Attacker,,45,,,,24,21,0,1,0,0,2,2,0,0,38,0,0,0,4,2,0,0,8,2,1,3,0,0,0,1,0,,,5.9
212893,Kevin Volland,Attacker,,14,,,,9,4,0,0,0,0,2,1,0,2,11,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,,5.7
857176,Paulinho,Attacker,,28,,,,22,17,1,0,1,0,0,0,0,0,29,1,0,0,0,3,2,4,1,0,0,2,1,1,0,1,0,,,7.2
66757,Lukas Hradecky,Keeper,4,90,1,6,13,48,37,0,,,,0,0,0,23,69,0,0,1,0,0,0,0,0,0,0,18,0,0,0,0,,,,5.4
128106,Aleksandar Dragovic,Defender,,90,,,,61,56,0,0,0,0,0,0,1,4,77,0,2,2,0,0,0,2,6,2,4,2,2,2,0,0,,1,,5.1
37374,Sven Bender,Defender,,90,,,,48,44,0,0,0,0,0,0,0,2,58,2,1,3,0,1,1,5,3,1,1,11,1,0,1,0,,,,5.3
789914,Edmond Tapsoba,Defender,,90,,,,63,60,0,0,0,0,0,0,0,4,71,2,1,2,0,1,1,3,4,2,2,7,0,0,0,0,,,,5.1
614449,Nadiem Amiri,Midfielder,,45,,,,21,13,1,0,0,0,0,0,2,3,36,1,1,0,1,4,3,4,7,2,0,5,0,0,0,0,1,1,,5.8
59595,Julian Baumgartlinger,Midfielder,,62,,,,24,21,1,0,1,1,0,0,0,1,32,1,1,0,0,1,1,5,1,0,1,2,2,2,2,0,1,,,7.5
